uid,type,title,transcript,locations,persons,topics,transcriptLength,totalPages,languageCode,isOnFrontPage,publicationDate,countryCode,dataProviderCode,mediaCode,mediaType
tageblatt-1948-01-06-a-i0087,ad,Gemeinde Kayi vergibt auf dem,,"[{'uid': 'aida-0001-54-Nice', 'relevance': 2}, {'uid': 'aida-0001-54-Luxembourg', 'relevance': 1}]",[],"[{'uid': 'tm-de-all-v2.0_tp33_de', 'relevance': 0.492}, {'uid': 'tm-de-all-v2.0_tp43_de', 'relevance': 0.038}, {'uid': 'tm-de-all-v2.0_tp69_de', 'relevance': 0.235}]",121,1,de,False,1948-01-06T00:00:00+00:00,LU,BNL,tageblatt,newspaper
tageblatt-1939-01-30-a-i0100,ad,CARNAVAL DE NICE Arrangements speciaux,,"[{'uid': 'aida-0001-54-Nice', 'relevance': 1}, {'uid': 'aida-0001-54-Luxembourg', 'relevance': 1}]","[{'uid': 'aida-0001-50-Charles_Weiss', 'relevance': 1}]","[{'uid': 'tm-de-all-v2.0_tp11_de', 'relevance': 0.029}, {'uid': 'tm-de-all-v2.0_tp45_de', 'relevance': 0.036}, {'uid': 'tm-de-all-v2.0_tp49_de', 'relevance': 0.029}, {'uid': 'tm-de-all-v2.0_tp69_de', 'relevance': 0.029}, {'uid': 'tm-de-all-v2.0_tp96_de', 'relevance': 0.506}]",100,1,de,False,1939-01-30T00:00:00+00:00,LU,BNL,tageblatt,newspaper
dunioun-1948-02-03-a-i0078,ad,Publicité 6 Page 6,,"[{'uid': 'aida-0001-54-Nice', 'relevance': 1}, {'uid': 'aida-0001-54-Henri$2c$_Grand_Duke_of_Luxembourg', 'relevance': 1}]","[{'uid': 'aida-0001-50-Philip_II_of_France', 'relevance': 1}]","[{'uid': 'tm-lb-all-v2.0_tp14_lb', 'relevance': 0.182}, {'uid': 'tm-lb-all-v2.0_tp15_lb', 'relevance': 0.124}, {'uid': 'tm-lb-all-v2.0_tp59_lb', 'relevance': 0.427}, {'uid': 'tm-lb-all-v2.0_tp91_lb', 'relevance': 0.021}, {'uid': 'tm-lb-all-v2.0_tp97_lb', 'relevance': 0.025}]",108,1,lb,False,1948-02-03T00:00:00+00:00,LU,BNL,dunioun,newspaper
luxwort-1949-01-21-a-i0134,ad,Pub. 68 Page 9,,"[{'uid': 'aida-0001-54-Switzerland', 'relevance': 2}, {'uid': 'aida-0001-54-Brussels', 'relevance': 1}, {'uid': 'aida-0001-54-Strasbourg', 'relevance': 1}, {'uid': 'aida-0001-54-Luxembourg', 'relevance': 1}]","[{'uid': 'aida-0001-50-Les_Plans$2c$_Gard', 'relevance': 1}]","[{'uid': 'tm-de-all-v2.0_tp02_de', 'relevance': 0.022}, {'uid': 'tm-de-all-v2.0_tp19_de', 'relevance': 0.034}, {'uid': 'tm-de-all-v2.0_tp27_de', 'relevance': 0.025}, {'uid': 'tm-de-all-v2.0_tp69_de', 'relevance': 0.329}, {'uid': 'tm-de-all-v2.0_tp75_de', 'relevance': 0.158}, {'uid': 'tm-de-all-v2.0_tp78_de', 'relevance': 0.028}, {'uid': 'tm-de-all-v2.0_tp79_de', 'relevance': 0.031}, {'uid': 'tm-de-all-v2.0_tp92_de', 'relevance': 0.061}]",326,1,de,False,1949-01-21T00:00:00+00:00,LU,BNL,luxwort,newspaper
tageblatt-1935-06-25-a-i0081,ad,"I~J~Ji i Mercredi, le 26",,"[{'uid': 'aida-0001-54-Luxembourg', 'relevance': 1}, {'uid': 'aida-0001-54-Malta', 'relevance': 1}, {'uid': 'aida-0001-54-Brussels', 'relevance': 1}, {'uid': 'aida-0001-54-CD_Victoria', 'relevance': 1}, {'uid': 'aida-0001-54-Strasbourg', 'relevance': 1}, {'uid': 'aida-0001-54-Nancy', 'relevance': 1}, {'uid': 'aida-0001-54-Paris', 'relevance': 1}, {'uid': 'aida-0001-54-Toulouse', 'relevance': 1}, {'uid': 'aida-0001-54-Berlin', 'relevance': 1}, {'uid': 'aida-0001-54-SMS_Köln_$28$1916$29$', 'relevance': 1}, {'uid': 'aida-0001-54-Munich_$28$district$29$', 'relevance': 1}, {'uid': 'aida-0001-54-Stuttgart', 'relevance': 1}, {'uid': 'aida-0001-54-London', 'relevance': 1}, {'uid': 'aida-0001-54-Romania', 'relevance': 1}]","[{'uid': 'aida-0001-50-Hermann_von_Beckerath', 'relevance': 1}, {'uid': 'aida-0001-50-Richard_Paul_Wagner', 'relevance': 1}]","[{'uid': 'tm-de-all-v2.0_tp62_de', 'relevance': 0.92}, {'uid': 'tm-de-all-v2.0_tp69_de', 'relevance': 0.028}]",689,1,de,False,1935-06-25T00:00:00+00:00,LU,BNL,tageblatt,newspaper
tageblatt-1935-08-10-a-i0128,ad,#6 st »y^nfslfeM RADIO LUXEMBOURG,,"[{'uid': 'aida-0001-54-Luxembourg', 'relevance': 1}, {'uid': 'aida-0001-54-Beaucaire$2c$_Gard', 'relevance': 1}, {'uid': 'aida-0001-54-Marche', 'relevance': 1}, {'uid': 'aida-0001-54-Strasbourg', 'relevance': 1}, {'uid': 'aida-0001-54-Salzburg', 'relevance': 1}, {'uid': 'aida-0001-54-Paris', 'relevance': 1}]","[{'uid': 'aida-0001-50-Louis_Vierne', 'relevance': 1}, {'uid': 'aida-0001-50-César_Franck', 'relevance': 1}]","[{'uid': 'tm-fr-all-v2.0_tp94_fr', 'relevance': 0.823}]",410,1,fr,False,1935-08-10T00:00:00+00:00,LU,BNL,tageblatt,newspaper
dunioun-1947-03-10-a-i0067,ad,Publicité 2 Page 4,,"[{'uid': 'aida-0001-54-Paris', 'relevance': 1}]","[{'uid': 'aida-0001-50-Anna_Neagle', 'relevance': 1}, {'uid': 'aida-0001-50-John_Carroll_$28$bishop$29$', 'relevance': 1}, {'uid': 'aida-0001-50-Mardi_Gras', 'relevance': 1}, {'uid': 'aida-0001-50-Credit_Suisse', 'relevance': 1}]","[{'uid': 'tm-fr-all-v2.0_tp00_fr', 'relevance': 0.104}, {'uid': 'tm-fr-all-v2.0_tp46_fr', 'relevance': 0.021}, {'uid': 'tm-fr-all-v2.0_tp49_fr', 'relevance': 0.442}, {'uid': 'tm-fr-all-v2.0_tp60_fr', 'relevance': 0.025}, {'uid': 'tm-fr-all-v2.0_tp89_fr', 'relevance': 0.03}]",173,1,fr,False,1947-03-10T00:00:00+00:00,LU,BNL,dunioun,newspaper
luxembourg1935-1938-02-18-a-i0074,ad,Publicité 5 Page 6,,"[{'uid': 'aida-0001-54-Vosges', 'relevance': 1}, {'uid': 'aida-0001-54-Colmar', 'relevance': 1}, {'uid': 'aida-0001-54-Belfort', 'relevance': 1}, {'uid': 'aida-0001-54-Lorraine_$28$region$29$', 'relevance': 1}, {'uid': 'aida-0001-54-Strasbourg', 'relevance': 1}, {'uid': 'aida-0001-54-Luxembourg', 'relevance': 1}]","[{'uid': 'aida-0001-50-Woodrow_Wilson', 'relevance': 1}]","[{'uid': 'tm-fr-all-v2.0_tp09_fr', 'relevance': 0.032}, {'uid': 'tm-fr-all-v2.0_tp18_fr', 'relevance': 0.02}, {'uid': 'tm-fr-all-v2.0_tp49_fr', 'relevance': 0.225}, {'uid': 'tm-fr-all-v2.0_tp57_fr', 'relevance': 0.166}, {'uid': 'tm-fr-all-v2.0_tp67_fr', 'relevance': 0.254}, {'uid': 'tm-fr-all-v2.0_tp73_fr', 'relevance': 0.02}]",238,1,fr,False,1938-02-18T00:00:00+00:00,LU,BNL,luxembourg1935,newspaper
dunioun-1948-02-07-a-i0156,ad,Publicité 13 Page 10,,"[{'uid': 'aida-0001-54-Luxembourg', 'relevance': 2}, {'uid': 'aida-0001-54-Hollywood', 'relevance': 1}, {'uid': 'aida-0001-54-John_Nord', 'relevance': 1}]","[{'uid': 'aida-0001-50-Tino_Rossi', 'relevance': 1}, {'uid': 'aida-0001-50-Hans_Moser_$28$actor$29$', 'relevance': 1}, {'uid': 'aida-0001-50-Cornel_Wilde', 'relevance': 2}, {'uid': 'aida-0001-50-Frank_Sinatra', 'relevance': 1}, {'uid': 'aida-0001-50-Vera-Ellen', 'relevance': 1}, {'uid': 'aida-0001-50-Dick_Haynes', 'relevance': 1}]","[{'uid': 'tm-fr-all-v2.0_tp03_fr', 'relevance': 0.043}, {'uid': 'tm-fr-all-v2.0_tp22_fr', 'relevance': 0.116}, {'uid': 'tm-fr-all-v2.0_tp35_fr', 'relevance': 0.14}, {'uid': 'tm-fr-all-v2.0_tp40_fr', 'relevance': 0.144}, {'uid': 'tm-fr-all-v2.0_tp58_fr', 'relevance': 0.033}, {'uid': 'tm-fr-all-v2.0_tp61_fr', 'relevance': 0.061}, {'uid': 'tm-fr-all-v2.0_tp67_fr', 'relevance': 0.05}, {'uid': 'tm-fr-all-v2.0_tp71_fr', 'relevance': 0.026}, {'uid': 'tm-fr-all-v2.0_tp73_fr', 'relevance': 0.05}, {'uid': 'tm-fr-all-v2.0_tp90_fr', 'relevance': 0.054}]",230,1,fr,False,1948-02-07T00:00:00+00:00,LU,BNL,dunioun,newspaper
indeplux-1926-08-18-a-i0042,ad,Publicité 7 Page 4,,"[{'uid': 'aida-0001-54-Paris', 'relevance': 1}]","[{'uid': 'aida-0001-50-Rachelle_Consiglio', 'relevance': 1}]","[{'uid': 'tm-fr-all-v2.0_tp02_fr', 'relevance': 0.021}, {'uid': 'tm-fr-all-v2.0_tp26_fr', 'relevance': 0.021}, {'uid': 'tm-fr-all-v2.0_tp28_fr', 'relevance': 0.029}, {'uid': 'tm-fr-all-v2.0_tp34_fr', 'relevance': 0.021}, {'uid': 'tm-fr-all-v2.0_tp51_fr', 'relevance': 0.021}, {'uid': 'tm-fr-all-v2.0_tp58_fr', 'relevance': 0.243}, {'uid': 'tm-fr-all-v2.0_tp60_fr', 'relevance': 0.021}, {'uid': 'tm-fr-all-v2.0_tp92_fr', 'relevance': 0.021}, {'uid': 'tm-fr-all-v2.0_tp93_fr', 'relevance': 0.038}, {'uid': 'tm-fr-all-v2.0_tp94_fr', 'relevance': 0.038}, {'uid': 'tm-fr-all-v2.0_tp96_fr', 'relevance': 0.064}]",181,1,fr,False,1926-08-18T00:00:00+00:00,LU,BNL,indeplux,newspaper
