uid,type,title,transcript,languageCode,publicationDate,mediaCode,publicationMonth
tageblatt-1948-01-06-a-i0087,ad,Gemeinde Kayi vergibt auf dem,,de,1948-01-06,tageblatt,01
tageblatt-1939-01-30-a-i0100,ad,CARNAVAL DE NICE Arrangements speciaux,,de,1939-01-30,tageblatt,01
dunioun-1948-02-03-a-i0078,ad,Publicité 6 Page 6,,lb,1948-02-03,dunioun,02
luxwort-1949-01-21-a-i0134,ad,Pub. 68 Page 9,,de,1949-01-21,luxwort,01
tageblatt-1935-06-25-a-i0081,ad,"I~J~Ji i Mercredi, le 26",,de,1935-06-25,tageblatt,06
tageblatt-1935-08-10-a-i0128,ad,#6 st »y^nfslfeM RADIO LUXEMBOURG,,fr,1935-08-10,tageblatt,08
dunioun-1947-03-10-a-i0067,ad,Publicité 2 Page 4,,fr,1947-03-10,dunioun,03
luxembourg1935-1938-02-18-a-i0074,ad,Publicité 5 Page 6,,fr,1938-02-18,luxembourg1935,02
dunioun-1948-02-07-a-i0156,ad,Publicité 13 Page 10,,fr,1948-02-07,dunioun,02
indeplux-1926-08-18-a-i0042,ad,Publicité 7 Page 4,,fr,1926-08-18,indeplux,08
luxembourg1935-1937-02-06-a-i0117,ad,Publicité 20 Page 6,,fr,1937-02-06,luxembourg1935,02
obermosel-1947-01-15-a-i0028,ad,Publicité 3 Page 3,,fr,1947-01-15,obermosel,01
tageblatt-1924-02-29-a-i0051,ad,"r-r 4 umm, 1^ VILLE",,fr,1924-02-29,tageblatt,02
indeplux-1914-02-20-a-i0071,ad,Publicité 8 Page 4,,fr,1914-02-20,indeplux,02
luxwort-1923-02-09-a-i0060,ad,Pub. 12 Page 14,,de,1923-02-09,luxwort,02
luxwort-1930-02-11-a-i0058,ad,Pub. 23 Page 6,,de,1930-02-11,luxwort,02
obermosel-1936-02-21-a-i0068,ad,Publicité 8 Page 8,,de,1936-02-21,obermosel,02
tageblatt-1933-12-11-a-i0063,ad,β A D 1 0,,de,1933-12-11,tageblatt,12
tageblatt-1934-03-27-a-i0126,ad,RADIO- PROGRAMMS RADIO LUXEMBOURG 230,,de,1934-03-27,tageblatt,03
tageblatt-1934-07-24-a-i0089,ad,Mit 74 Jahren verdient diese,,de,1934-07-24,tageblatt,07
tageblatt-1934-11-17-a-i0136,ad,RADIO LUXEMBOURG 230 kHz. (1304,,de,1934-11-17,tageblatt,11
indeplux-1912-03-16-a-i0038,ad,Publicité 5 Page 4,,fr,1912-03-16,indeplux,03
indeplux-1921-01-31-a-i0073,ad,Publicité 2 Page 4,,fr,1921-01-31,indeplux,01
indeplux-1921-02-04-a-i0043,ad,Publicité 5 Page 2,,fr,1921-02-04,indeplux,02
indeplux-1929-03-01-a-i0037,ad,Publicité 9 Page 4,,fr,1929-03-01,indeplux,03
