uid,type,title,transcript,languageCode,publicationDate,mediaCode,publicationMonth
tageblatt-1948-01-06-a-i0087,ad,Gemeinde Kayi vergibt auf dem,,de,1948-01-06,tageblatt,01
tageblatt-1939-01-30-a-i0100,ad,CARNAVAL DE NICE Arrangements speciaux,,de,1939-01-30,tageblatt,01
dunioun-1948-02-03-a-i0078,ad,Publicité 6 Page 6,,lb,1948-02-03,dunioun,02
luxwort-1949-01-21-a-i0134,ad,Pub. 68 Page 9,,de,1949-01-21,luxwort,01
dunioun-1947-03-10-a-i0067,ad,Publicité 2 Page 4,,fr,1947-03-10,dunioun,03
luxembourg1935-1938-02-18-a-i0074,ad,Publicité 5 Page 6,,fr,1938-02-18,luxembourg1935,02
dunioun-1948-02-07-a-i0156,ad,Publicité 13 Page 10,,fr,1948-02-07,dunioun,02
luxembourg1935-1937-02-06-a-i0117,ad,Publicité 20 Page 6,,fr,1937-02-06,luxembourg1935,02
obermosel-1947-01-15-a-i0028,ad,Publicité 3 Page 3,,fr,1947-01-15,obermosel,01
tageblatt-1924-02-29-a-i0051,ad,"r-r 4 umm, 1^ VILLE",,fr,1924-02-29,tageblatt,02
indeplux-1914-02-20-a-i0071,ad,Publicité 8 Page 4,,fr,1914-02-20,indeplux,02
luxwort-1923-02-09-a-i0060,ad,Pub. 12 Page 14,,de,1923-02-09,luxwort,02
luxwort-1930-02-11-a-i0058,ad,Pub. 23 Page 6,,de,1930-02-11,luxwort,02
obermosel-1936-02-21-a-i0068,ad,Publicité 8 Page 8,,de,1936-02-21,obermosel,02
tageblatt-1934-03-27-a-i0126,ad,RADIO- PROGRAMMS RADIO LUXEMBOURG 230,,de,1934-03-27,tageblatt,03
indeplux-1912-03-16-a-i0038,ad,Publicité 5 Page 4,,fr,1912-03-16,indeplux,03
indeplux-1921-01-31-a-i0073,ad,Publicité 2 Page 4,,fr,1921-01-31,indeplux,01
indeplux-1921-02-04-a-i0043,ad,Publicité 5 Page 2,,fr,1921-02-04,indeplux,02
indeplux-1929-03-01-a-i0037,ad,Publicité 9 Page 4,,fr,1929-03-01,indeplux,03
indeplux-1934-02-07-a-i0043,ad,Publicité 9 Page 4,,fr,1934-02-07,indeplux,02
luxembourg1935-1936-02-10-a-i0089,ad,Publicité 3 Page 6,,fr,1936-02-10,luxembourg1935,02
luxembourg1935-1938-02-24-a-i0103,ad,Publicité 10 Page 6,,fr,1938-02-24,luxembourg1935,02
luxwort-1937-02-05-a-i0133,ad,Pub. 41 Page 16,,fr,1937-02-05,luxwort,02
tageblatt-1934-01-18-a-i0080,ad,RADIO-PROGRAMME RADIO LUXEMBOURG 230 kHz.,,fr,1934-01-18,tageblatt,01
indeplux-1920-02-14-a-i0050,ad,Publicité 3 Page 4,,fr,1920-02-14,indeplux,02
