uid;access_right;collections;content;content_provider;country;date;is_content_available;is_olr;is_on_front_page;issue;language;locations_mentioned;nb_pages;newsagencies_mentioned;newspaper;newspaper_political_orientation;newspaper_topics;pages;periodicity;persons_mentioned;province;relevance;size;title;topics;type;year
armeteufel-1909-02-21-a-i0018;Closed;local-elgu-Y10ZFslw,local-elgu-1lM_Wsz2;[redacted];BNL;LU;1909-02-21T00:00:00Z;N;True;False;armeteufel-1909-02-21-a;de;;1;;armeteufel;Social-Democrat;Partisan;3;na;;na;0.0;68;Publicité 1 Page 3;tm-de-all-v2.0_tp38_de|0.033 tm-de-all-v2.0_tp43_de|0.063 tm-de-all-v2.0_tp69_de|0.181 tm-de-all-v2.0_tp96_de|0.277 tm-de-all-v2.0_tp99_de|0.026 ;ad;1909
armeteufel-1909-02-21-a-i0019;Closed;local-elgu-Y10ZFslw;[redacted];BNL;LU;1909-02-21T00:00:00Z;N;True;False;armeteufel-1909-02-21-a;de;Freising;1;;armeteufel;Social-Democrat;Partisan;3;na;;na;0.0;103;Publicité 2 Page 3;tm-de-all-v2.0_tp19_de|0.033 tm-de-all-v2.0_tp38_de|0.026 tm-de-all-v2.0_tp83_de|0.137 tm-de-all-v2.0_tp96_de|0.285 tm-de-all-v2.0_tp99_de|0.1 ;ad;1909
armeteufel-1922-02-25-a-i0020;Closed;local-elgu-Y10ZFslw;[redacted];BNL;LU;1922-02-25T00:00:00Z;N;True;False;armeteufel-1922-02-25-a;de;;1;;armeteufel;Social-Democrat;Partisan;4;na;J. TOUSSAINT;na;0.0;119;Publicité 1 Page 4;tm-de-all-v2.0_tp26_de|0.094 tm-de-all-v2.0_tp30_de|0.094 tm-de-all-v2.0_tp69_de|0.258 tm-de-all-v2.0_tp71_de|0.029 tm-de-all-v2.0_tp87_de|0.081 tm-de-all-v2.0_tp97_de|0.049 ;ad;1922
avenirgdl-1868-12-02-a-i0030;OpenPublic;local-elgu-Y10ZFslw;"Pour la saison d'hiver ""°WF NOUVEAUTES POUR HOMMES ET POUR DAMES. Par-dessus pour hommes en Ratine et tissus lisses de fr. $5 à fr. 35 Manteaux en Waterproof anglais, nouvelles formes de fr, 28 à fr. 38 G onfections pour Dames des plus élégantes. chez LEICK H WARNIMONT 123 Successeurs de V e HOFFMANN A CÈDE» LE MAGASIN DE NOUVEAUTÉS DE SIEGEN-GONTIER. Conditions très-favorables. On peut traiter en bloc ou en partie. Le logement est compris pour les personnes qui voudraient traiter en bloc. BALS BE CARNAVAL donnés dans la salle Hastert les 8 «fcl4 février prochain AU PROFIT DU BUREAU DE BIENFAISANCE °v La liste de souscription pour ces deux bals est confiée aux soins du commissionnaire Frits, et sera mise immédiatement en cir- Le prix de souscription est de 3 Mkjl r par personne. Les personnes, qui par oubli jpti . ne figurent pas sur la liste, sont priées de faire leurs réclamations au dit commis- LE COMITÉ. U^/^""^i> 2V. I?. L'entrée sera strictement refusée W^» aux personnes, à qui la liste n'aura pas été pré- F I ""•^gE.lk sentée et qui malgré leurs réclamations au comité, n'auraient pas obtenu de cartes. ";BNL;LU;1868-12-02T00:00:00Z;Y;True;False;avenirgdl-1868-12-02-a;fr;BALS;1;;avenirgdl;na;Generalist;4;na;;na;0.0;194;Publicité 4 Page 4;tm-fr-all-v2.0_tp01_fr|0.072 tm-fr-all-v2.0_tp02_fr|0.021 tm-fr-all-v2.0_tp24_fr|0.025 tm-fr-all-v2.0_tp35_fr|0.058 tm-fr-all-v2.0_tp39_fr|0.104 tm-fr-all-v2.0_tp49_fr|0.021 tm-fr-all-v2.0_tp54_fr|0.224 tm-fr-all-v2.0_tp57_fr|0.044 tm-fr-all-v2.0_tp70_fr|0.03 tm-fr-all-v2.0_tp79_fr|0.03 tm-fr-all-v2.0_tp82_fr|0.039 ;ad;1868
avenirgdl-1868-12-08-a-i0034;OpenPublic;local-elgu-Y10ZFslw;BALS PE CARNAVAL donnés dans la salle Hastert les 8 éf? 14 février iirociisiiii AU PROFIT DU BUREAU DE BIENFAISANCE °v La liste de souscription pour ces deux bals est confiée aux soins du commissionnaire 9 Fritz, et sera mise immédiatement en cir- k. M) par personne. Les personnes, rpii par oubli ne figurent pas sur la liste, sont priées de lÈsL laire leurs réclamations au dit commis- y' *2jiÉ[ r *¥ N. B. L'entrée sera strictement refusée aux personnes, à qui la liste n'aura pas été pré» sentée et qui malgré leurs réclamations au comité, n'auraient pas obtenu de cartes. {Jf^ Â~CÉDER ~ LE MAGASIN DE NOUVEAUTÉS DE SIEGEN-GONTIER. Conditions trës-favorâbles. On peut traiter en bloc ou en partie. Le logement est compris pour les personnes qui voudraient traiter en bloc. ;BNL;LU;1868-12-08T00:00:00Z;Y;True;False;avenirgdl-1868-12-08-a;fr;BALS;1;;avenirgdl;na;Generalist;4;na;;na;0.0;132;Publicité 4 Page 4;tm-fr-all-v2.0_tp01_fr|0.061 tm-fr-all-v2.0_tp15_fr|0.039 tm-fr-all-v2.0_tp39_fr|0.055 tm-fr-all-v2.0_tp54_fr|0.262 tm-fr-all-v2.0_tp70_fr|0.061 tm-fr-all-v2.0_tp82_fr|0.05 tm-fr-all-v2.0_tp88_fr|0.024 tm-fr-all-v2.0_tp90_fr|0.024 ;ad;1868
avenirgdl-1868-12-16-a-i0035;OpenPublic;local-elgu-Y10ZFslw;"BAÏiS ©13 CARNAVAL donnés dans la salle Hastert les 8 H 14 février prochain AU PROFIT DU BUREAU DE BIENFAISANCE °\ La liste de souscription pour ces deux bals est confiée aux soins du commissionnaire m Fritz, et sera mise immédiatement en cir- ffffflifflf^, Le prix de souscription est de 3 \ ■ par personne. Les personnes, qui par oubli ne figurent pas sur la liste, sont priées de IIL *"" a r e eurs déclamations au dit commis- /*fàËt^ fr « / B- L'entrée sera strictement refusée tiux personnes, à qui la liste n'aura pas été présentée et qui malgré leurs réclamations au t"" &sm? comité, n'auraient pas obtenu de cartes. ";BNL;LU;1868-12-16T00:00:00Z;Y;True;False;avenirgdl-1868-12-16-a;fr;;1;;avenirgdl;na;Generalist;4;na;;na;0.0;112;Publicité 6 Page 4;tm-fr-all-v2.0_tp35_fr|0.081 tm-fr-all-v2.0_tp39_fr|0.127 tm-fr-all-v2.0_tp40_fr|0.023 tm-fr-all-v2.0_tp54_fr|0.173 tm-fr-all-v2.0_tp60_fr|0.029 tm-fr-all-v2.0_tp70_fr|0.023 tm-fr-all-v2.0_tp79_fr|0.042 tm-fr-all-v2.0_tp82_fr|0.068 tm-fr-all-v2.0_tp84_fr|0.023 tm-fr-all-v2.0_tp90_fr|0.042 ;ad;1868
avenirgdl-1868-12-18-a-i0045;OpenPublic;local-elgu-Y10ZFslw;BAIiS DE CARNAVAL donnés dans la salle Hastert les 8 éfc 14 février prochain AU PROFIT DU BUREAU DE BIENFAISANCE °v La liste de souscription pour ces deux bals est confiée aux soins du commissionnaire M Frite, et sera mise immédiatement en cil- Le prix de souscription est de 3 fr.jfpYp JP d * par personne. Les personnes, qui par oubli ne figurent pas sur la liste, sont priées de 3^, mire leurs réclamations au dit commis- /zjÈl 2?. L'entrée sera strictement refusée w>> aux personnes, à qui la liste n'aura pas été pré- Ty . , «L sentée et qui malgré leurs réclamations au [iS3ÊB? comité, n'auraient pas obtenu de cartes. ;BNL;LU;1868-12-18T00:00:00Z;Y;True;False;avenirgdl-1868-12-18-a;fr;;1;;avenirgdl;na;Generalist;4;na;;na;0.0;112;Publicité 7 Page 4;tm-fr-all-v2.0_tp18_fr|0.023 tm-fr-all-v2.0_tp35_fr|0.036 tm-fr-all-v2.0_tp39_fr|0.179 tm-fr-all-v2.0_tp45_fr|0.023 tm-fr-all-v2.0_tp54_fr|0.206 tm-fr-all-v2.0_tp79_fr|0.029 tm-fr-all-v2.0_tp82_fr|0.081 tm-fr-all-v2.0_tp90_fr|0.036 ;ad;1868
avenirgdl-1868-12-23-a-i0032;OpenPublic;local-elgu-Y10ZFslw;BALS ®E CARNAVAL. donnés dans la salle Hastert les 8 éfe 14 février itroclmin AU PROFIT DU BUREAU DE BIENFAISANCE tLa liste de souscription pour ces deux -- bals est confiée aux soins du commissionnaire Fritz, et sera mise immédiatement en oir- Le prix de souscription est de 3 fr M, V par personne. Les personnes, qui par oubli ne figurent pas sur la liste, sont priées de faire leurs réclamations au dit commis- LE COMITÉ. N. B. L'entrée sera strictement refusée aux personnes, à qui la liste n'aura pas été pré- T f sentée et qui malgré leurs réclamations au f comité, n'auraient pas obtenu de cartes. ;BNL;LU;1868-12-23T00:00:00Z;Y;True;False;avenirgdl-1868-12-23-a;fr;BALS;1;;avenirgdl;na;Generalist;4;na;;na;0.0;108;Publicité 5 Page 4;tm-fr-all-v2.0_tp15_fr|0.023 tm-fr-all-v2.0_tp35_fr|0.094 tm-fr-all-v2.0_tp39_fr|0.153 tm-fr-all-v2.0_tp54_fr|0.199 tm-fr-all-v2.0_tp70_fr|0.042 tm-fr-all-v2.0_tp82_fr|0.068 tm-fr-all-v2.0_tp83_fr|0.023 tm-fr-all-v2.0_tp90_fr|0.023 tm-fr-all-v2.0_tp97_fr|0.023 ;ad;1868
avenirgdl-1869-01-01-a-i0035;OpenPublic;local-elgu-Y10ZFslw;"BALS DE CARNAVAL donnés dans la salle Hastert les 8 & 14 février prochain AU PROFIT DES PAUVRES °v La liste de souscription pour ces deux bals est confiée aux soins du commissionnaire <S Fritz, et sera mise immédiatement en cir- Le prix de souscription est de 3 » P ar personne. Les personnes, qui par -igfl ne figurent pas sur la liste, sont priées de V""3 g* faire leurs réclamations au dit commis-5"" / L'entrée sera strictement refusée flfl^ M aux personnes, à qui la liste n'aura pas été pré- T / sentée et qui malgré leurs réclamations au Y comité, n'auraient pas obtenu de cartes. âTcéSeïï LE MAGASIN DE NOUVEAUTÉS DE SIEGEN-GONTIER. Conditions très-favorables. On peut traiter en bloc ou en partie. Le logement est compris pour les personnes qui voudraient traiter en bloc. ";BNL;LU;1869-01-01T00:00:00Z;Y;True;False;avenirgdl-1869-01-01-a;fr;BALS;1;;avenirgdl;na;Generalist;4;na;;na;0.0;136;Publicité 4 Page 4;tm-fr-all-v2.0_tp01_fr|0.052 tm-fr-all-v2.0_tp15_fr|0.036 tm-fr-all-v2.0_tp39_fr|0.164 tm-fr-all-v2.0_tp40_fr|0.041 tm-fr-all-v2.0_tp54_fr|0.258 tm-fr-all-v2.0_tp70_fr|0.047 tm-fr-all-v2.0_tp82_fr|0.041 ;ad;1869
avenirgdl-1869-01-04-a-i0037;OpenPublic;local-elgu-Y10ZFslw;"BALS DE CARNAVAL donnés dans la salle Hastert les S ifc 14 février prochain AU PROFIT DES PAUVRES -j. ■» g ■ 0 v La liste de souscription pour ces deux bals est confiée aux soins du commissionnaire M Fritz, et sera mise immédiatement en cir- i*Pj^^3""^# \*s£é* faPW par personne. Les personnes, qui par oubli J/M 5\ ne figurent pas sur la liste, sont priées de ?™^r faire leurs réclamations au dit commis* » iV T . .B. L'entrée sera strictement refusée IRv W aux personnes, à qui la liste n'aura pas été pré- F «entée ii qui malgré leurs réclamations au n'auraient pas obtenu de cartes. accéder"" LE MAGASIN DE NOUVEAUTÉS DE SIEGEN-GONTIER. Conditions trés-favorables. On peut traiter en bloc ou en partie. Le loiremenî est compris pour les personnes qui voudraient traiter en bloc. ";BNL;LU;1869-01-04T00:00:00Z;Y;True;False;avenirgdl-1869-01-04-a;fr;BALS;1;;avenirgdl;na;Generalist;4;na;;na;0.0;137;Publicité 6 Page 4;tm-fr-all-v2.0_tp35_fr|0.044 tm-fr-all-v2.0_tp39_fr|0.09 tm-fr-all-v2.0_tp40_fr|0.02 tm-fr-all-v2.0_tp45_fr|0.02 tm-fr-all-v2.0_tp47_fr|0.02 tm-fr-all-v2.0_tp49_fr|0.02 tm-fr-all-v2.0_tp54_fr|0.242 tm-fr-all-v2.0_tp60_fr|0.026 tm-fr-all-v2.0_tp80_fr|0.02 tm-fr-all-v2.0_tp82_fr|0.079 tm-fr-all-v2.0_tp90_fr|0.02 tm-fr-all-v2.0_tp93_fr|0.026 tm-fr-all-v2.0_tp94_fr|0.02 ;ad;1869
