ID,Date,Title,Collection,DocumentType,Type,ArticleID,URL
ark:70795/2n980cg3b,1970-08-22,Publicité 36 Page 12,luxwort,newspaper,ADVERTISEMENT,DIVL1718,https://persist.lu/ark:70795/2n980cg3b/articles/DIVL1718
ark:70795/cxwh7c0p7,1965-02-20,Publicité 33 Page 13,luxwort,newspaper,ADVERTISEMENT,DIVL2221,https://persist.lu/ark:70795/cxwh7c0p7/articles/DIVL2221
ark:70795/1mjxgrhw0f,1964-02-01,Publicité 14 Page 41,revue,newspaper,ADVERTISEMENT,DIVL1510,https://persist.lu/ark:70795/1mjxgrhw0f/articles/DIVL1510
ark:70795/h2mq94cbs,1964-01-30,Publicité 9 Page 8,luxwort,newspaper,ADVERTISEMENT,DIVL1036,https://persist.lu/ark:70795/h2mq94cbs/articles/DIVL1036
ark:70795/pmn8382jp0,1963-02-16,Publicité 14 Page 27,revue,newspaper,ADVERTISEMENT,DIVL1166,https://persist.lu/ark:70795/pmn8382jp0/articles/DIVL1166
ark:70795/pb8twk679,1963-02-13,Publicité 61 Page 16,luxwort,newspaper,ADVERTISEMENT,DIVL1155,https://persist.lu/ark:70795/pb8twk679/articles/DIVL1155
ark:70795/v4pgw9dw2,1963-02-09,Publicité 103 Page 22,luxwort,newspaper,ADVERTISEMENT,DIVL1634,https://persist.lu/ark:70795/v4pgw9dw2/articles/DIVL1634
ark:70795/s2jwc7hdt,1963-02-08,Publicité 4 Page 5,luxwort,newspaper,ADVERTISEMENT,DIVL1074,https://persist.lu/ark:70795/s2jwc7hdt/articles/DIVL1074
ark:70795/kt5xs103s,1963-02-07,Publicité 2 Page 5,luxwort,newspaper,ADVERTISEMENT,DIVL952,https://persist.lu/ark:70795/kt5xs103s/articles/DIVL952
ark:70795/bq3n2ks4c,1961-01-27,Publicité 4 Page 5,luxwort,newspaper,ADVERTISEMENT,DIVL1076,https://persist.lu/ark:70795/bq3n2ks4c/articles/DIVL1076
ark:70795/zvcwqsphz,1961-01-21,Publicité 12 Page 8,luxwort,newspaper,ADVERTISEMENT,DIVL2144,https://persist.lu/ark:70795/zvcwqsphz/articles/DIVL2144
ark:70795/83qgmkt6v,1959-02-04,Publicité 5 Page 3,luxwort,newspaper,ADVERTISEMENT,DIVL430,https://persist.lu/ark:70795/83qgmkt6v/articles/DIVL430
ark:70795/59r1m8qb2,1959-01-17,Publicité 12 Page 5,luxwort,newspaper,ADVERTISEMENT,DIVL1385,https://persist.lu/ark:70795/59r1m8qb2/articles/DIVL1385
ark:70795/z3d15x,1958-02-21,Publicité 12 Page 8,luxland,newspaper,ADVERTISEMENT,DTL638,https://persist.lu/ark:70795/z3d15x/articles/DTL638
ark:70795/2c15kt,1958-02-14,Publicité 7 Page 6,luxland,newspaper,ADVERTISEMENT,DTL715,https://persist.lu/ark:70795/2c15kt/articles/DTL715
ark:70795/b6md50163,1958-02-13,Publicité 8 Page 4,luxwort,newspaper,ADVERTISEMENT,DIVL564,https://persist.lu/ark:70795/b6md50163/articles/DIVL564
ark:70795/vkp4dtjv5,1956-02-11,Publicité 5 Page 4,luxwort,newspaper,ADVERTISEMENT,DIVL668,https://persist.lu/ark:70795/vkp4dtjv5/articles/DIVL668
ark:70795/gx7crcr5x,1956-02-10,Publicité 2 Page 4,luxwort,newspaper,ADVERTISEMENT,DIVL941,https://persist.lu/ark:70795/gx7crcr5x/articles/DIVL941
ark:70795/7s750jgmg,1956-02-09,Publicité 8 Page 4,luxwort,newspaper,ADVERTISEMENT,DIVL581,https://persist.lu/ark:70795/7s750jgmg/articles/DIVL581
ark:70795/m2gn2q,1954-02-26,Publicité 10 Page 10,luxland,newspaper,ADVERTISEMENT,DTL615,https://persist.lu/ark:70795/m2gn2q/articles/DTL615
ark:70795/ft4pnd,1950-03-04,Sans Titre,tageblatt,newspaper,ADVERTISEMENT,DTL603,https://persist.lu/ark:70795/ft4pnd/articles/DTL603
ark:70795/sk6b5d,1950-02-11,Sans Titre,tageblatt,newspaper,ADVERTISEMENT,DTL727,https://persist.lu/ark:70795/sk6b5d/articles/DTL727
ark:70795/0tg4x8,1949-02-24,Sans Titre,tageblatt,newspaper,ADVERTISEMENT,DTL348,https://persist.lu/ark:70795/0tg4x8/articles/DTL348
ark:70795/tvzjzd,1949-01-14,Sans Titre,tageblatt,newspaper,ADVERTISEMENT,DTL399,https://persist.lu/ark:70795/tvzjzd/articles/DTL399
ark:70795/qw18n0,1948-03-06,Sans Titre,tageblatt,newspaper,ADVERTISEMENT,DTL378,https://persist.lu/ark:70795/qw18n0/articles/DTL378
ark:70795/g80cfs,1948-03-01,Sans Titre,tageblatt,newspaper,ADVERTISEMENT,DTL274,https://persist.lu/ark:70795/g80cfs/articles/DTL274
ark:70795/52872n,1948-02-07,Publicité 8 Page 7,dunioun,newspaper,ADVERTISEMENT,DTL745,https://persist.lu/ark:70795/52872n/articles/DTL745
ark:70795/gjtbwh,1948-02-07,Publicité 11 Page 11,obermosel,newspaper,ADVERTISEMENT,DTL627,https://persist.lu/ark:70795/gjtbwh/articles/DTL627
ark:70795/gjtbwh,1948-02-07,Publicité 4 Page 4,obermosel,newspaper,ADVERTISEMENT,DTL620,https://persist.lu/ark:70795/gjtbwh/articles/DTL620
ark:70795/6kd45p,1948-02-07,Sans Titre,tageblatt,newspaper,ADVERTISEMENT,DTL481,https://persist.lu/ark:70795/6kd45p/articles/DTL481
ark:70795/cgr641,1948-02-06,Publicité 1 Page 3,dunioun,newspaper,ADVERTISEMENT,DTL306,https://persist.lu/ark:70795/cgr641/articles/DTL306
ark:70795/71tfqn,1948-02-06,Sans Titre,tageblatt,newspaper,ADVERTISEMENT,DTL309,https://persist.lu/ark:70795/71tfqn/articles/DTL309
ark:70795/06pdb6,1948-02-06,Publicité 2 Page 3,obermosel,newspaper,ADVERTISEMENT,DTL347,https://persist.lu/ark:70795/06pdb6/articles/DTL347
ark:70795/nxd9b2,1948-02-04,Publicité 2 Page 4,obermosel,newspaper,ADVERTISEMENT,DTL498,https://persist.lu/ark:70795/nxd9b2/articles/DTL498
ark:70795/q6v03s,1948-02-02,Sans Titre,tageblatt,newspaper,ADVERTISEMENT,DTL400,https://persist.lu/ark:70795/q6v03s/articles/DTL400
ark:70795/xwqtqd,1948-01-31,Publicité 4 Page 4,obermosel,newspaper,ADVERTISEMENT,DTL592,https://persist.lu/ark:70795/xwqtqd/articles/DTL592
ark:70795/p8x6fx,1948-01-31,Sans Titre,tageblatt,newspaper,ADVERTISEMENT,DTL528,https://persist.lu/ark:70795/p8x6fx/articles/DTL528
ark:70795/q12sft,1947-03-15,Publicité 25 Page 8,obermosel,newspaper,ADVERTISEMENT,DTL445,https://persist.lu/ark:70795/q12sft/articles/DTL445
ark:70795/grqk21,1947-03-15,Publicité 2 Page 4,dunioun,newspaper,ADVERTISEMENT,DTL802,https://persist.lu/ark:70795/grqk21/articles/DTL802
ark:70795/dmb3b1,1947-03-15,Sans Titre,tageblatt,newspaper,ADVERTISEMENT,DTL481,https://persist.lu/ark:70795/dmb3b1/articles/DTL481
ark:70795/hvb3t5,1947-03-14,Publicité 2 Page 6,obermosel,newspaper,ADVERTISEMENT,DTL506,https://persist.lu/ark:70795/hvb3t5/articles/DTL506
ark:70795/m9hnbf,1947-03-14,Sans Titre,tageblatt,newspaper,ADVERTISEMENT,DTL369,https://persist.lu/ark:70795/m9hnbf/articles/DTL369
ark:70795/rqv4pq,1947-03-14,Publicité 3 Page 4,dunioun,newspaper,ADVERTISEMENT,DTL452,https://persist.lu/ark:70795/rqv4pq/articles/DTL452
ark:70795/rqv4pq,1947-03-14,Publicité 5 Page 4,dunioun,newspaper,ADVERTISEMENT,DTL454,https://persist.lu/ark:70795/rqv4pq/articles/DTL454
ark:70795/qvwh7p,1947-03-06,Sans Titre,tageblatt,newspaper,ADVERTISEMENT,DTL427,https://persist.lu/ark:70795/qvwh7p/articles/DTL427
ark:70795/9fqn44,1947-03-06,Publicité 7 Page 8,obermosel,newspaper,ADVERTISEMENT,DTL533,https://persist.lu/ark:70795/9fqn44/articles/DTL533
ark:70795/h6n1k1,1947-03-06,Publicité 1 Page 4,dunioun,newspaper,ADVERTISEMENT,DTL417,https://persist.lu/ark:70795/h6n1k1/articles/DTL417
ark:70795/jgwdpj,1947-03-05,Sans Titre,tageblatt,newspaper,ADVERTISEMENT,DTL440,https://persist.lu/ark:70795/jgwdpj/articles/DTL440
ark:70795/x6034d,1947-03-05,Publicité 5 Page 6,dunioun,newspaper,ADVERTISEMENT,DTL451,https://persist.lu/ark:70795/x6034d/articles/DTL451
ark:70795/vwnt37,1947-03-03,Publicité 5 Page 4,dunioun,newspaper,ADVERTISEMENT,DTL428,https://persist.lu/ark:70795/vwnt37/articles/DTL428
ark:70795/mz7594,1947-03-01,Sans Titre,tageblatt,newspaper,ADVERTISEMENT,DTL417,https://persist.lu/ark:70795/mz7594/articles/DTL417
ark:70795/mz7594,1947-03-01,Sans Titre,tageblatt,newspaper,ADVERTISEMENT,DTL411,https://persist.lu/ark:70795/mz7594/articles/DTL411
ark:70795/n3rjmz,1947-03-01,Publicité 11 Page 8,dunioun,newspaper,ADVERTISEMENT,DTL666,https://persist.lu/ark:70795/n3rjmz/articles/DTL666
ark:70795/1t0p1m,1947-03-01,Publicité 6 Page 7,obermosel,newspaper,ADVERTISEMENT,DTL475,https://persist.lu/ark:70795/1t0p1m/articles/DTL475
ark:70795/1t0p1m,1947-03-01,Publicité 3 Page 5,obermosel,newspaper,ADVERTISEMENT,DTL472,https://persist.lu/ark:70795/1t0p1m/articles/DTL472
ark:70795/1nq5db,1947-02-22,Sans Titre,tageblatt,newspaper,ADVERTISEMENT,DTL426,https://persist.lu/ark:70795/1nq5db/articles/DTL426
ark:70795/7xfn4w,1947-02-18,Publicité 4 Page 4,obermosel,newspaper,ADVERTISEMENT,DTL256,https://persist.lu/ark:70795/7xfn4w/articles/DTL256
ark:70795/tpjwdg,1947-02-17,Publicité 2 Page 4,dunioun,newspaper,ADVERTISEMENT,DTL348,https://persist.lu/ark:70795/tpjwdg/articles/DTL348
ark:70795/hz7s00,1947-02-15,Sans Titre,tageblatt,newspaper,ADVERTISEMENT,DTL515,https://persist.lu/ark:70795/hz7s00/articles/DTL515
ark:70795/hz7s00,1947-02-15,Sans Titre,tageblatt,newspaper,ADVERTISEMENT,DTL559,https://persist.lu/ark:70795/hz7s00/articles/DTL559
ark:70795/3tp480,1947-02-13,Publicité 6 Page 4,dunioun,newspaper,ADVERTISEMENT,DTL375,https://persist.lu/ark:70795/3tp480/articles/DTL375
ark:70795/hqrbr0,1947-02-12,Sans Titre,tageblatt,newspaper,ADVERTISEMENT,DTL249,https://persist.lu/ark:70795/hqrbr0/articles/DTL249
ark:70795/hzn5dv,1947-02-10,Sans Titre,tageblatt,newspaper,ADVERTISEMENT,DTL302,https://persist.lu/ark:70795/hzn5dv/articles/DTL302
ark:70795/w50hnv,1946-03-26,Sans Titre,tageblatt,newspaper,ADVERTISEMENT,DTL262,https://persist.lu/ark:70795/w50hnv/articles/DTL262
ark:70795/gt1qv5,1946-03-14,Sans Titre,tageblatt,newspaper,ADVERTISEMENT,DTL251,https://persist.lu/ark:70795/gt1qv5/articles/DTL251
ark:70795/bmsqnw,1946-03-01,Sans Titre,tageblatt,newspaper,ADVERTISEMENT,DTL271,https://persist.lu/ark:70795/bmsqnw/articles/DTL271
ark:70795/p5sd56,1946-02-27,Sans Titre,tageblatt,newspaper,ADVERTISEMENT,DTL261,https://persist.lu/ark:70795/p5sd56/articles/DTL261
ark:70795/2p24bj,1940-02-14,Sans Titre,tageblatt,newspaper,ADVERTISEMENT,DTL319,https://persist.lu/ark:70795/2p24bj/articles/DTL319
ark:70795/ghw78p,1940-02-01,Sans Titre,tageblatt,newspaper,ADVERTISEMENT,DTL353,https://persist.lu/ark:70795/ghw78p/articles/DTL353
ark:70795/f73q3t,1940-02-01,Publicité 7 Page 5,obermosel,newspaper,ADVERTISEMENT,DTL512,https://persist.lu/ark:70795/f73q3t/articles/DTL512
ark:70795/d973kf,1940-01-30,Publicité 3 Page 4,luxembourg1935,newspaper,ADVERTISEMENT,DTL339,https://persist.lu/ark:70795/d973kf/articles/DTL339
ark:70795/x4xv5j,1940-01-24,Publicité 4 Page 4,obermosel,newspaper,ADVERTISEMENT,DTL579,https://persist.lu/ark:70795/x4xv5j/articles/DTL579
ark:70795/kx2qk1,1938-02-07,Publicité 5 Page 6,luxembourg1935,newspaper,ADVERTISEMENT,DTL566,https://persist.lu/ark:70795/kx2qk1/articles/DTL566
ark:70795/p0mrjh,1937-01-22,Sans Titre,tageblatt,newspaper,ADVERTISEMENT,DTL466,https://persist.lu/ark:70795/p0mrjh/articles/DTL466
ark:70795/rfzjbw,1937-01-22,Publicité 3 Page 4,obermosel,newspaper,ADVERTISEMENT,DTL439,https://persist.lu/ark:70795/rfzjbw/articles/DTL439
ark:70795/t7mpm3,1937-01-09,Publicité 4 Page 4,obermosel,newspaper,ADVERTISEMENT,DTL540,https://persist.lu/ark:70795/t7mpm3/articles/DTL540
ark:70795/1g7kd0,1937-01-09,Sans Titre,tageblatt,newspaper,ADVERTISEMENT,DTL518,https://persist.lu/ark:70795/1g7kd0/articles/DTL518
ark:70795/5mn8tf,1934-02-03,Sans Titre,tageblatt,newspaper,ADVERTISEMENT,DTL428,https://persist.lu/ark:70795/5mn8tf/articles/DTL428
ark:70795/02jzgg,1927-03-04,Sans Titre,tageblatt,newspaper,ADVERTISEMENT,DTL305,https://persist.lu/ark:70795/02jzgg/articles/DTL305
