ID,Date,Title,Collection,DocumentType,Type,ArticleID,URL
ark:70795/n1vdq0gq9,1967-02-15,Publicité 9 Page 7,luxwort,newspaper,ADVERTISEMENT,DIVL1212,https://persist.lu/ark:70795/n1vdq0gq9/articles/DIVL1212
ark:70795/69gxkd14qg,1965-02-06,Publicité 26 Page 31,revue,newspaper,ADVERTISEMENT,DIVL1272,https://persist.lu/ark:70795/69gxkd14qg/articles/DIVL1272
ark:70795/q1n3gbs2v,1963-08-10,Publicité 44 Page 17,luxwort,newspaper,ADVERTISEMENT,DIVL1738,https://persist.lu/ark:70795/q1n3gbs2v/articles/DIVL1738
ark:70795/79qwfrcwk,1960-02-11,Publicité 20 Page 8,luxwort,newspaper,ADVERTISEMENT,DIVL725,https://persist.lu/ark:70795/79qwfrcwk/articles/DIVL725
ark:70795/njsdbt8xw,1958-12-11,Publicité 25 Page 9,luxwort,newspaper,ADVERTISEMENT,DIVL998,https://persist.lu/ark:70795/njsdbt8xw/articles/DIVL998
ark:70795/d2ncrx07n,1957-04-24,Publicité 73 Page 10,luxwort,newspaper,ADVERTISEMENT,DIVL771,https://persist.lu/ark:70795/d2ncrx07n/articles/DIVL771
ark:70795/5mt7th,1950-12-27,Sans Titre,tageblatt,newspaper,ADVERTISEMENT,DTL322,https://persist.lu/ark:70795/5mt7th/articles/DTL322
ark:70795/7d78b8,1947-11-20,Sans Titre,tageblatt,newspaper,ADVERTISEMENT,DTL420,https://persist.lu/ark:70795/7d78b8/articles/DTL420
ark:70795/2xg4s1,1947-11-20,Publicité 7 Page 6,obermosel,newspaper,ADVERTISEMENT,DTL385,https://persist.lu/ark:70795/2xg4s1/articles/DTL385
ark:70795/ht1w1n,1947-11-20,Publicité 11 Page 4,dunioun,newspaper,ADVERTISEMENT,DTL375,https://persist.lu/ark:70795/ht1w1n/articles/DTL375
ark:70795/2m08vx,1947-01-10,Sans Titre,tageblatt,newspaper,ADVERTISEMENT,DTL283,https://persist.lu/ark:70795/2m08vx/articles/DTL283
ark:70795/brq3s3,1937-02-04,Publicité 11 Page 6,luxembourg1935,newspaper,ADVERTISEMENT,DTL532,https://persist.lu/ark:70795/brq3s3/articles/DTL532
ark:70795/vwtx7ck3p4,1933-03-10,Publicité 5 Page 3,luxemburgerzeitung1868,newspaper,ADVERTISEMENT,DIVL367,https://persist.lu/ark:70795/vwtx7ck3p4/articles/DIVL367
ark:70795/xsq9hvtctw,1933-03-09,Publicité 3 Page 3,luxemburgerzeitung1868,newspaper,ADVERTISEMENT,DIVL344,https://persist.lu/ark:70795/xsq9hvtctw/articles/DIVL344
ark:70795/6n4cxq,1927-02-24,Publicité 3 Page 3,indeplux,newspaper,ADVERTISEMENT,DTL237,https://persist.lu/ark:70795/6n4cxq/articles/DTL237
