year,mardi_gras,mi_careme,easter,mardi_gras_weekday,mi_careme_weekday,days_between
1880,1880-02-10,1880-03-04,1880-03-28,Tuesday,Thursday,23
1881,1881-03-01,1881-03-24,1881-04-17,Tuesday,Thursday,23
1882,1882-02-21,1882-03-16,1882-04-09,Tuesday,Thursday,23
1883,1883-02-06,1883-03-01,1883-03-25,Tuesday,Thursday,23
1884,1884-02-26,1884-03-20,1884-04-13,Tuesday,Thursday,23
1885,1885-02-17,1885-03-12,1885-04-05,Tuesday,Thursday,23
1886,1886-03-10,1886-04-01,1886-04-26,Wednesday,Thursday,22
1887,1887-02-23,1887-03-17,1887-04-11,Wednesday,Thursday,22
1888,1888-02-15,1888-03-08,1888-04-02,Wednesday,Thursday,22
1889,1889-03-06,1889-03-28,1889-04-22,Wednesday,Thursday,22
1890,1890-02-19,1890-03-13,1890-04-07,Wednesday,Thursday,22
1891,1891-02-11,1891-03-05,1891-03-30,Wednesday,Thursday,22
1892,1892-03-02,1892-03-24,1892-04-18,Wednesday,Thursday,22
1893,1893-02-15,1893-03-09,1893-04-03,Wednesday,Thursday,22
1894,1894-02-07,1894-03-01,1894-03-26,Wednesday,Thursday,22
1895,1895-02-27,1895-03-21,1895-04-15,Wednesday,Thursday,22
1896,1896-02-19,1896-03-12,1896-04-06,Wednesday,Thursday,22
1897,1897-03-03,1897-03-25,1897-04-19,Wednesday,Thursday,22
1898,1898-02-23,1898-03-17,1898-04-11,Wednesday,Thursday,22
1899,1899-02-15,1899-03-09,1899-04-03,Wednesday,Thursday,22
1900,1900-02-28,1900-03-22,1900-04-16,Wednesday,Thursday,22
1901,1901-02-20,1901-03-14,1901-04-08,Wednesday,Thursday,22
1902,1902-02-12,1902-03-06,1902-03-31,Wednesday,Thursday,22
1903,1903-02-25,1903-03-19,1903-04-13,Wednesday,Thursday,22
1904,1904-02-17,1904-03-10,1904-04-04,Wednesday,Thursday,22
1905,1905-03-08,1905-03-30,1905-04-24,Wednesday,Thursday,22
1906,1906-02-28,1906-03-22,1906-04-16,Wednesday,Thursday,22
1907,1907-02-13,1907-03-07,1907-04-01,Wednesday,Thursday,22
1908,1908-03-04,1908-03-26,1908-04-20,Wednesday,Thursday,22
1909,1909-02-24,1909-03-18,1909-04-12,Wednesday,Thursday,22
1910,1910-02-09,1910-03-03,1910-03-28,Wednesday,Thursday,22
1911,1911-03-01,1911-03-23,1911-04-17,Wednesday,Thursday,22
1912,1912-02-21,1912-03-14,1912-04-08,Wednesday,Thursday,22
1913,1913-02-05,1913-02-27,1913-03-24,Wednesday,Thursday,22
1914,1914-02-25,1914-03-19,1914-04-13,Wednesday,Thursday,22
1915,1915-02-17,1915-03-11,1915-04-05,Wednesday,Thursday,22
1916,1916-03-08,1916-03-30,1916-04-24,Wednesday,Thursday,22
1917,1917-02-21,1917-03-15,1917-04-09,Wednesday,Thursday,22
1918,1918-02-13,1918-03-07,1918-04-01,Wednesday,Thursday,22
1919,1919-03-05,1919-03-27,1919-04-21,Wednesday,Thursday,22
1920,1920-02-18,1920-03-11,1920-04-05,Wednesday,Thursday,22
1921,1921-02-09,1921-03-03,1921-03-28,Wednesday,Thursday,22
1922,1922-03-01,1922-03-23,1922-04-17,Wednesday,Thursday,22
1923,1923-02-14,1923-03-08,1923-04-02,Wednesday,Thursday,22
1924,1924-03-05,1924-03-27,1924-04-21,Wednesday,Thursday,22
1925,1925-02-25,1925-03-19,1925-04-13,Wednesday,Thursday,22
1926,1926-02-17,1926-03-11,1926-04-05,Wednesday,Thursday,22
1927,1927-03-02,1927-03-24,1927-04-18,Wednesday,Thursday,22
1928,1928-02-22,1928-03-15,1928-04-09,Wednesday,Thursday,22
1929,1929-02-13,1929-03-07,1929-04-01,Wednesday,Thursday,22
1930,1930-03-05,1930-03-27,1930-04-21,Wednesday,Thursday,22
1931,1931-02-18,1931-03-12,1931-04-06,Wednesday,Thursday,22
1932,1932-02-10,1932-03-03,1932-03-28,Wednesday,Thursday,22
1933,1933-03-01,1933-03-23,1933-04-17,Wednesday,Thursday,22
1934,1934-02-14,1934-03-08,1934-04-02,Wednesday,Thursday,22
1935,1935-03-06,1935-03-28,1935-04-22,Wednesday,Thursday,22
1936,1936-02-26,1936-03-19,1936-04-13,Wednesday,Thursday,22
1937,1937-02-10,1937-03-04,1937-03-29,Wednesday,Thursday,22
1938,1938-03-02,1938-03-24,1938-04-18,Wednesday,Thursday,22
1939,1939-02-22,1939-03-16,1939-04-10,Wednesday,Thursday,22
1940,1940-02-07,1940-02-29,1940-03-25,Wednesday,Thursday,22
1941,1941-02-26,1941-03-20,1941-04-14,Wednesday,Thursday,22
1942,1942-02-18,1942-03-12,1942-04-06,Wednesday,Thursday,22
1943,1943-03-10,1943-04-01,1943-04-26,Wednesday,Thursday,22
1944,1944-02-23,1944-03-16,1944-04-10,Wednesday,Thursday,22
1945,1945-02-14,1945-03-08,1945-04-02,Wednesday,Thursday,22
1946,1946-03-06,1946-03-28,1946-04-22,Wednesday,Thursday,22
1947,1947-02-19,1947-03-13,1947-04-07,Wednesday,Thursday,22
1948,1948-02-11,1948-03-04,1948-03-29,Wednesday,Thursday,22
1949,1949-03-02,1949-03-24,1949-04-18,Wednesday,Thursday,22
1950,1950-02-22,1950-03-16,1950-04-10,Wednesday,Thursday,22
1951,1951-02-07,1951-03-01,1951-03-26,Wednesday,Thursday,22
1952,1952-02-27,1952-03-20,1952-04-14,Wednesday,Thursday,22
1953,1953-02-18,1953-03-12,1953-04-06,Wednesday,Thursday,22
1954,1954-03-03,1954-03-25,1954-04-19,Wednesday,Thursday,22
1955,1955-02-23,1955-03-17,1955-04-11,Wednesday,Thursday,22
1956,1956-02-15,1956-03-08,1956-04-02,Wednesday,Thursday,22
1957,1957-03-06,1957-03-28,1957-04-22,Wednesday,Thursday,22
1958,1958-02-19,1958-03-13,1958-04-07,Wednesday,Thursday,22
1959,1959-02-11,1959-03-05,1959-03-30,Wednesday,Thursday,22
1960,1960-03-02,1960-03-24,1960-04-18,Wednesday,Thursday,22
1961,1961-02-15,1961-03-09,1961-04-03,Wednesday,Thursday,22
1962,1962-03-07,1962-03-29,1962-04-23,Wednesday,Thursday,22
1963,1963-02-27,1963-03-21,1963-04-15,Wednesday,Thursday,22
1964,1964-02-12,1964-03-05,1964-03-30,Wednesday,Thursday,22
1965,1965-03-03,1965-03-25,1965-04-19,Wednesday,Thursday,22
1966,1966-02-23,1966-03-17,1966-04-11,Wednesday,Thursday,22
